date,hemispherical,longitude,latitude,region,period,ndre,lci,severity_level
15/06/22,IMG_4314_A,104.541359,-2.924451,2-bpm24,2,0.17163539,0.2648552,3
15/06/22,IMG_4243_B,104.541385,-2.924973,2-bpm24,2,0.18666773,0.27990773,2
15/06/22,IMG_4256_B,104.541537,-2.924988,2-bpm24,2,0.20367868,0.3063623,1
15/06/22,IMG_3977_A,104.518607,-2.950827,2-gt1,2,0.18212642,0.2597948,4
15/06/22,IMG_4012_B,104.518687,-2.95014,2-gt1,2,0.17763315,0.25846773,4
15/06/22,IMG_4015_B,104.518619,-2.949903,2-gt1,2,0.16025974,0.22947398,3
15/06/22,IMG_4020_B,104.518602,-2.949681,2-gt1,2,0.17700025,0.26156247,4
15/06/22,IMG_4271_B,104.518755,-2.950853,2-gt1,2,0.18929736,0.27131975,2
15/06/22,IMG_3999_A,104.518879,-2.950822,2-gt1,2,0.18516903,0.26647213,3
15/06/22,IMG_4027_B,104.51879,-2.949697,2-gt1,2,0.18506595,0.2752635,2
15/06/22,IMG_4129_A,104.51889,-2.950708,2-gt1,2,0.17948818,0.25992385,3
15/06/22,IMG_4035_B,104.519025,-2.949662,2-gt1,2,0.16261686,0.22952297,4
15/06/22,IMG_4021_A,104.518847,-2.950693,2-gt1,2,0.18283357,0.26961604,3
15/06/22,IMG_4033_A,104.518537,-2.950687,2-gt1,2,0.17794652,0.25820604,3
15/06/22,IMG_4050_B,104.518959,-2.949929,2-gt1,2,0.16949043,0.24300262,4
15/06/22,IMG_4058_A,104.518513,-2.950404,2-gt1,2,0.16023289,0.23015928,3
15/06/22,IMG_4057_B,104.518714,-2.949892,2-gt1,2,0.1672774,0.23931287,3
15/06/22,IMG_4065_B,104.518788,-2.950127,2-gt1,2,0.18197611,0.27337828,2
15/06/22,IMG_4067_A,104.518758,-2.950431,2-gt1,2,0.18294233,0.27301547,2
15/06/22,IMG_4078_A,104.518955,-2.950436,2-gt1,2,0.18427466,0.26750815,3
15/06/22,IMG_4075_B,104.519,-2.950115,2-gt1,2,0.18741466,0.27528456,2
15/06/22,IMG_4085_B,104.519243,-2.950142,2-gt1,2,0.18222909,0.2746815,2
15/06/22,IMG_4092_B,104.519402,-2.950152,2-gt1,2,0.17688517,0.27166763,2
15/06/22,IMG_4089_A,104.519363,-2.950461,2-gt1,2,0.18301363,0.26890016,3
15/06/22,IMG_4104_B,104.519585,-2.950155,2-gt1,2,0.19534874,0.2903542,2
15/06/22,IMG_4101_A,104.519516,-2.950467,2-gt1,2,0.19199903,0.2816856,2
15/06/22,IMG_4110_B,104.519413,-2.949913,2-gt1,2,0.17684765,0.25258654,3
15/06/22,IMG_4112_A,104.519769,-2.950432,2-gt1,2,0.18101542,0.2663481,3
15/06/22,IMG_4129_A,104.519764,-2.950737,2-gt1,2,0.17898047,0.25949356,3
15/06/22,IMG_4119_B,104.519301,-2.949714,2-gt1,2,0.17158034,0.25176376,3
15/06/22,IMG_4135_A,104.519803,-2.950797,2-gt1,2,0.17868781,0.26196098,3
15/06/22,IMG_4126_B,104.519137,-2.949719,2-gt1,2,0.16703318,0.24238428,4
15/06/22,IMG_4148_A,104.519602,-2.950815,2-gt1,2,0.17278326,0.24864095,3
15/06/22,IMG_4134_B,104.519297,-2.949841,2-gt1,2,0.17273451,0.2477695,3
15/06/22,IMG_4162_A,104.519584,-2.950683,2-gt1,2,0.18579523,0.2743134,2
15/06/22,IMG_4173_A,104.519371,-2.950717,2-gt1,2,0.17711057,0.2558356,3
15/06/22,IMG_4145_B,104.519092,-2.949862,2-gt1,2,0.16817957,0.24152723,3
15/06/22,IMG_4188_A,104.519396,-2.950939,2-gt1,2,0.16863453,0.24242985,3
15/06/22,IMG_4155_B,104.518974,-2.949704,2-gt1,2,0.1698104,0.23976095,4
