date,hemispherical,longitude,latitude,region,ndre_karet,lci_karet,ndre_gulma,lci_gulma,severity_level
15/06/22,IMG_4294_A,104.541343,-2.924549,2-bpm24,0.17725639,0.27164084,0.26890352,0.39538726,1
15/06/22,IMG_4314_A,104.541359,-2.924451,2-bpm24,0.17163539,0.2648552,0.26256412,0.3883161,1
15/06/22,IMG_4243_B,104.541385,-2.924973,2-bpm24,0.18666773,0.27990773,0.2677868,0.389992,1
15/06/22,IMG_4256_B,104.541537,-2.924988,2-bpm24,0.20367868,0.3063623,0.27930495,0.40476042,1
15/06/22,IMG_3977_A,104.518607,-2.950827,2-gt1,0.18212642,0.2597948,0.23407607,0.340864,4
15/06/22,IMG_4012_B,104.518687,-2.95014,2-gt1,0.17763315,0.25846773,0.23581372,0.34818107,4
15/06/22,IMG_4015_B,104.518619,-2.949903,2-gt1,0.16025974,0.22947398,0.20355739,0.2941358,2
15/06/22,IMG_4020_B,104.518602,-2.949681,2-gt1,0.17700025,0.26156247,0.23520654,0.34632885,4
15/06/22,IMG_4271_B,104.518755,-2.950853,2-gt1,0.18929736,0.27131975,0.24552768,0.36058858,4
15/06/22,IMG_3999_A,104.518879,-2.950822,2-gt1,0.18516903,0.26647213,0.2434367,0.3570909,3
15/06/22,IMG_4027_B,104.51879,-2.949697,2-gt1,0.18506595,0.2752635,0.2389789,0.3503154,4
15/06/22,IMG_4129_A,104.51889,-2.950708,2-gt1,0.17948818,0.25992385,0.24397537,0.35811368,3
15/06/22,IMG_4035_B,104.519025,-2.949662,2-gt1,0.16261686,0.22952297,0.21063855,0.31194073,4
15/06/22,IMG_4021_A,104.518847,-2.950693,2-gt1,0.18283357,0.26961604,0.2541397,0.37303495,3
15/06/22,IMG_4033_A,104.518537,-2.950687,2-gt1,0.17794652,0.25820604,0.23938774,0.35183182,3
15/06/22,IMG_4050_B,104.518959,-2.949929,2-gt1,0.16949043,0.24300262,0.22199811,0.32856306,4
15/06/22,IMG_4058_A,104.518513,-2.950404,2-gt1,0.16023289,0.23015928,0.20898448,0.31065378,3
15/06/22,IMG_4057_B,104.518714,-2.949892,2-gt1,0.1672774,0.23931287,0.21506982,0.31233168,2
15/06/22,IMG_4065_B,104.518788,-2.950127,2-gt1,0.18197611,0.27337828,0.24498767,0.36289153,3
15/06/22,IMG_4067_A,104.518758,-2.950431,2-gt1,0.18294233,0.27301547,0.24508847,0.36293027,3
15/06/22,IMG_4078_A,104.518955,-2.950436,2-gt1,0.18427466,0.26750815,0.24290247,0.35786515,3
15/06/22,IMG_4075_B,104.519,-2.950115,2-gt1,0.18741466,0.27528456,0.23957047,0.35233027,2
